Timestamp,Peak
10/9/2023,4
10/10/2023,0
10/11/2023,0
10/12/2023,2
10/13/2023,0
10/14/2023,0
10/15/2023,0
10/16/2023,0
10/17/2023,0
10/18/2023,0
10/19/2023,0
10/20/2023,0
10/21/2023,0
10/22/2023,0
10/23/2023,0
10/24/2023,6
10/25/2023,0
10/26/2023,0
10/27/2023,10
10/28/2023,5
10/29/2023,0
10/30/2023,1
10/31/2023,7
11/1/2023,10
11/2/2023,9
11/3/2023,6
11/4/2023,3
11/5/2023,3
11/6/2023,6
11/7/2023,2
11/8/2023,11
11/9/2023,14
11/10/2023,8
11/11/2023,12
11/12/2023,14
11/13/2023,13
11/14/2023,12
11/15/2023,9
11/16/2023,5
11/17/2023,4
11/18/2023,8
11/19/2023,12
11/20/2023,17
11/21/2023,19
11/22/2023,10
11/23/2023,14
11/24/2023,30
11/25/2023,24
11/26/2023,14
11/27/2023,3
11/28/2023,16
11/29/2023,19
11/30/2023,15
12/1/2023,9
12/2/2023,11
12/3/2023,10
12/4/2023,10
12/5/2023,17
12/6/2023,19
12/7/2023,22
12/8/2023,17
12/9/2023,11
12/10/2023,7
12/11/2023,11
12/12/2023,18
12/13/2023,16
12/14/2023,18
12/15/2023,14
12/16/2023,10
12/17/2023,13
12/18/2023,2
12/19/2023,12
12/20/2023,19
12/21/2023,21
12/22/2023,26
12/23/2023,22
12/24/2023,13
12/25/2023,16
12/26/2023,16
12/27/2023,1
12/28/2023,4
12/29/2023,8
12/30/2023,16
12/31/2023,17
1/1/2024,9
1/2/2024,6
1/3/2024,9
1/4/2024,10
1/5/2024,5
1/6/2024,6
1/7/2024,7
1/8/2024,9
1/9/2024,9
1/10/2024,5
1/11/2024,5
1/12/2024,6
1/13/2024,7
1/14/2024,5
1/15/2024,10
1/16/2024,7
,918
