Timestamp,Peak
2024-01-16,5
2024-01-17,3
2024-01-18,4
2024-01-19,5
2024-01-20,8
2024-01-21,7
2024-01-22,10
2024-01-23,6
2024-01-24,4
2024-01-25,3
2024-01-26,1
2024-01-27,0
2024-01-28,3
2024-01-29,3
2024-01-30,6
2024-01-31,5
2024-02-01,3
2024-02-02,10
2024-02-03,33
2024-02-04,18
2024-02-05,12
2024-02-06,17
2024-02-07,15
2024-02-08,9
2024-02-09,11
2024-02-10,17
2024-02-11,6
2024-02-12,8
2024-02-13,14
2024-02-14,24
2024-02-15,21
2024-02-16,18
2024-02-17,21
2024-02-18,23
2024-02-19,22
2024-02-20,26
2024-02-21,17
2024-02-22,15
2024-02-23,10
2024-02-24,21
2024-02-25,25
2024-02-26,15
2024-02-27,8
2024-02-28,3
2024-02-29,23
2024-03-01,28
2024-03-02,29
2024-03-03,18
2024-03-04,22
2024-03-05,24
2024-03-06,9
2024-03-07,0
2024-03-08,7
2024-03-09,13
2024-03-10,10
2024-03-11,16
2024-03-12,10
2024-03-13,10
2024-03-14,8
2024-03-15,7
2024-03-16,9
2024-03-17,9
2024-03-18,11
2024-03-19,11
2024-03-20,15
2024-03-21,19
2024-03-22,19
2024-03-23,23
2024-03-24,14
2024-03-25,11
2024-03-26,10
2024-03-27,7
2024-03-28,3
